Key,ExitTime,Symbol,EntryPrice,Quantity,Pnl,Date
2020-09-03 10:31:00,2020-09-03 11:35:00,NIFTY03SEP2011500CE,65.4,-75,2261.2500000000005,2020-09-03
2020-09-03 10:09:00,2020-09-03 11:15:00,NIFTY03SEP2011600PE,53.55,-75,-423.7499999999999,2020-09-03
2020-09-03 11:26:00,2020-09-03 11:30:00,NIFTY03SEP2011600PE,50.150000000000006,-75,-461.2499999999994,2020-09-03
2020-09-03 12:40:00,2020-09-03 12:54:00,NIFTY03SEP2011600PE,72.75,-75,1500.0,2020-09-03
2020-09-03 10:23:00,2020-09-03 10:44:00,BANKNIFTY03SEP2023900PE,160.95,-25,-338.7500000000003,2020-09-03
2020-09-03 10:56:00,2020-09-03 11:10:00,BANKNIFTY03SEP2023800PE,93.95,-25,-253.74999999999977,2020-09-03
2020-09-03 11:24:00,2020-09-03 11:30:00,BANKNIFTY03SEP2023900PE,155.95,-25,-502.50000000000057,2020-09-03
2020-09-04 10:40:00,2020-09-04 10:46:00,NIFTY10SEP2011350CE,131.7,-75,-596.2500000000013,2020-09-04
2020-09-04 11:29:00,2020-09-04 12:25:00,NIFTY10SEP2011350CE,138.5,-75,-562.5,2020-09-04
2020-09-04 12:32:00,2020-09-04 12:45:00,NIFTY10SEP2011350CE,135.85,-75,-528.7500000000009,2020-09-04
2020-09-04 10:21:00,2020-09-04 12:15:00,BANKNIFTY10SEP2023000CE,499.95,-25,-378.75000000000085,2020-09-04
2020-09-04 09:26:00,2020-09-04 09:39:00,BANKNIFTY10SEP2023100PE,522.25,-25,2454.9999999999995,2020-09-04
2020-09-07 09:26:00,2020-09-07 15:14:00,NIFTY10SEP2011300CE,113.5,-75,-487.5,2020-09-07
2020-09-07 09:30:00,2020-09-07 09:48:00,BANKNIFTY10SEP2022900CE,362.45,-25,-1463.7500000000002,2020-09-07
2020-09-07 09:19:00,2020-09-07 09:30:00,NIFTY10SEP2011350PE,96.05,-75,-1784.9999999999998,2020-09-07
2020-09-07 10:07:00,2020-09-07 11:15:00,NIFTY10SEP2011350PE,120.95,-75,1121.2500000000002,2020-09-07
2020-09-08 11:06:00,2020-09-08 11:30:00,NIFTY10SEP2011350CE,103.1,-75,-693.749999999999,2020-09-08
2020-09-08 11:55:00,2020-09-08 12:22:00,NIFTY10SEP2011400CE,82.2,-75,-341.2499999999998,2020-09-08
2020-09-08 09:32:00,2020-09-08 09:46:00,BANKNIFTY10SEP2022800CE,339.55,-25,-554.9999999999998,2020-09-08
2020-09-08 10:00:00,2020-09-08 10:08:00,BANKNIFTY10SEP2022800CE,333.15,-25,-346.25000000000057,2020-09-08
2020-09-08 10:58:00,2020-09-08 12:45:00,BANKNIFTY10SEP2022900CE,336.8,-25,-423.7499999999997,2020-09-08
